ticker,name,sector,price,adv20,surge_score,readiness,explosiveness,fuel,catalyst,setup_type,ann_vol,max_5d_gain_1y,big_up_days,ret_5d,rvol,dist_52wh,atr_pctile,bb_pctile,nr7,short_pct_float,days_to_cover,float_shares,analyst_score,target_upside,binary_target,low_coverage,extended
ATOM,Atomera Incorporated,Technology,9.670000076293945,23253381.773984432,69.22160436322476,57.96622587741586,100.0,46.658683,75.0,fresh_coil,1.445252730652846,1.928870164330248,20,0.04653683071723114,0.49088573785970074,0.7820461185030406,0.69,0.51,True,0.1547,1.54,37426853,75.0,,False,False,False
ASST,"Strive, Inc.",Financial Services,17.200000762939453,75715965.84005833,68.42644424444444,38.6,100.0,58.60722122222223,83.75,fresh_coil,1.6578184212953575,0.9013334147135417,31,-0.05546394136803723,1.344401387645682,0.06825397128150576,0.36,0.03,False,0.2048,3.42,56745009,75.0,0.8994185203987601,False,False,False
SOC,Sable Offshore Corp.,Energy,13.020000457763672,47491597.452840805,67.9472418561561,39.46662585385364,100.0,73.1925205,71.5625,squeeze_fuel,1.418067356692224,0.9079189657814444,19,-0.11668923609650872,2.704489846562317,0.4045991402824678,0.32,0.23,False,0.22129999,8.27,100527302,56.25,0.9201228203561849,False,False,False
ZD,"Ziff Davis, Inc.",Communication Services,46.18000030517578,25531542.32404709,67.12448463417805,77.36804850527191,61.7834449622397,76.78511994444445,54.00119033753215,fresh_coil,0.6776275116503933,0.6013412555100985,2,0.056750560616455115,0.6904860924236123,0.91355095948882,0.22,0.37,True,0.19559999,8.26,33183907,65.38461538461539,0.1314421752860817,False,False,False
SERV,Serve Robotics Inc.,Industrials,9.420000076293945,45474428.675875664,65.53417355838425,41.58320196483813,77.0908738648661,72.55178188888888,77.10227272727272,squeeze_fuel,0.8922903826216676,0.484585710743233,13,0.08275865319698483,1.9466410424214913,0.5053648275077338,0.12,0.26,False,0.2628,5.36,70653963,64.77272727272727,0.7335456335181489,False,False,False
SVCO,"Silvaco Group, Inc.",Technology,10.670000076293945,4397418.552732468,65.12024414987107,54.34412868774588,81.02502771773653,37.435,83.75,fresh_coil,0.8855631236490721,0.9363636238844268,6,0.09548257977720831,1.1388007540076128,0.833268240687283,0.48,0.48,False,0.074,1.81,12986544,75.0,0.6869728089310392,False,False,False
SOUN,"SoundHound AI, Inc.",Technology,9.25,263730255.55058002,63.446337726315825,45.95410346220892,77.76629357340087,60.435,73.39949324324323,fresh_coil,0.8025027148841289,0.5429104947318837,9,0.13219093189971698,1.226961158095269,0.41723049021956876,0.18,0.18,False,0.3806,4.41,396598749,65.625,0.3513513513513513,False,False,False
VELO,"Velo3D, Inc.",Technology,21.510000228881836,65914264.42138672,63.39154748277331,59.9118249425777,100.0,53.965,48.75,fresh_coil,1.7998573193135559,1.140035854386435,42,-0.06721592684118494,0.9141690502839613,0.8116981218445976,0.2,0.93,True,0.2038,0.97,10291938,75.0,-0.054858215542807454,False,True,False
ALOY,REalloys Inc.,Basic Materials,10.989999771118164,17019260.259780884,63.28041442920713,44.80891718826618,100.0,47.93869636363637,67.5,fresh_coil,1.4397480389891522,1.1817914240683902,28,0.12257403615331608,2.438893536011999,0.4085501831586502,0.15,0.08,False,,1.91,22868453,50.0,0.7288444400091982,False,True,False
PACK,Ranpak Holdings Corp,Consumer Cyclical,6.889999866485596,4519873.76376152,63.13829358243212,60.416531440162274,76.92881708157947,37.32997647777778,73.8719181283733,fresh_coil,0.7618184765647991,0.5862943932059661,7,0.09713370004741795,0.8786342123056119,0.9622905046535578,0.3,0.49,False,0.055999998,3.42,47360209,65.0,0.361393350038552,False,False,False
